VillageName,Latitude,Longitude,Workers
Village_50,-6.139937957081935,-80.60798357194139,10
Village_51,-5.9766351580646795,-80.73948962887472,15
Village_52,-6.081093847531672,-80.71541233495662,10
Village_53,-5.944860284453195,-80.75209255313962,10
Village_54,-5.954097478112174,-80.70147290121518,20
Village_55,-6.0396716241101664,-80.6358418695829,10
Village_56,-5.975516359762466,-80.66042552683685,16
Village_57,-6.092533171553306,-80.6785718512597,20
Village_58,-5.9935993579505285,-80.80548494325338,12
Village_59,-6.0344132199488305,-80.72627561869145,13
Village_60,-6.004717493299666,-80.75417416758481,14
Village_61,-5.974324139131516,-80.7435432158217,14
Village_62,-6.014348305011672,-80.66311152040134,5
Village_63,-6.031224547891444,-80.69229333585477,16
Village_64,-5.964975719611894,-80.67437895688704,11
Village_65,-6.076847535543903,-80.74802283065422,20
Village_66,-6.009564410018631,-80.67671181764861,10
Village_67,-5.984117957724442,-80.621146460151,15
Village_68,-5.9723001106752545,-80.59257030713373,20
Village_69,-6.000346376335066,-80.71771757090131,17
Village_70,-6.064269089856284,-80.73669702045342,6
Village_71,-5.962532630383956,-80.6157447169243,13
Village_72,-6.081503703275739,-80.68326438127856,12
Village_73,-5.966831193537784,-80.66136095365317,5
Village_74,-5.99409407390222,-80.77632640228929,15
Village_75,-6.083493552835814,-80.72058903747467,18
Village_76,-5.999205454642384,-80.67903593579734,7
Village_77,-6.001165460033499,-80.6406408375482,6
Village_78,-5.949982742600173,-80.74917618820338,19
Village_79,-6.085320263359077,-80.68372648280474,17
Village_80,-5.875803097675508,-80.68355933990834,20
Village_81,-6.068544624903056,-80.65787637923785,16
Village_82,-6.104162553108276,-80.69415672302036,10
Village_83,-6.021206619444083,-80.64498295910262,9
Village_84,-5.998180061810687,-80.67946850945424,8
Village_85,-6.05733968590342,-80.75774236123429,11
Village_86,-6.020560199990513,-80.76945347170859,6
Village_87,-5.979494537981802,-80.67737605642245,14
Village_88,-5.983244372454901,-80.73601004350202,11
Village_89,-6.0120895640777,-80.73914851489154,6
Village_90,-5.97085811697453,-80.7044652193048,13
Village_91,-6.062950404821339,-80.61289976979141,17
Village_92,-6.048347168747825,-80.76659091281252,6
Village_93,-5.989247615684698,-80.48936342546726,17
Village_94,-6.042797244888731,-80.6883867414232,7
Village_95,-6.072628268583,-80.75703841966036,6
Village_96,-5.9205226171936705,-80.71579023671107,7
Village_97,-5.8992670716663245,-80.77536325962959,17
Village_98,-6.00750831418302,-80.67495463159644,5
Village_99,-6.059656013681461,-80.69874086236973,5
Village_100,-6.042064272081998,-80.64315884977873,16
Village_101,-6.051518331585856,-80.6711770705209,17
Village_102,-6.033726077954523,-80.74656080565681,7
Village_103,-5.946828225452414,-80.64056170111976,17
Village_104,-6.020359723758056,-80.70631086428766,7
Village_105,-6.0546260369216345,-80.68773682207335,9
Village_106,-5.9259354461486815,-80.71587078338574,5
Village_107,-6.031712354557518,-80.69789234532553,6
Village_108,-6.030967753890739,-80.69223082527388,13
Village_109,-6.078044197716752,-80.63610690264726,20
Village_110,-5.908267937599629,-80.67065755890096,9
Village_111,-6.0813415883067945,-80.58981421011241,16
Village_112,-6.074178658397226,-80.67055147838848,10
Village_113,-5.9928090285926885,-80.64326829732853,16
Village_114,-6.042462645368214,-80.62716018727794,18
Village_115,-6.1147480785778825,-80.74700964207968,14
Village_116,-6.014909319440266,-80.64420323591042,12
Village_117,-6.064075432552397,-80.65889482628684,12
Village_118,-5.997796593429898,-80.63568837285575,8
Village_119,-6.109868849124433,-80.61797296191612,16
Village_120,-6.003650784939032,-80.69554811310839,15
Village_121,-6.022589254751779,-80.65258413967577,5
Village_122,-6.07224742600357,-80.6524341941536,17
Village_123,-6.039321638302618,-80.67162008693572,12
Village_124,-5.937253866168169,-80.73106001676187,18
Village_125,-6.0444682378472105,-80.63951989514895,8
Village_126,-6.067148069680142,-80.61567641658405,15
Village_127,-5.996899304402876,-80.65293429329822,9
Village_128,-6.012462802057236,-80.65727000540592,9
Village_129,-5.977635319743837,-80.65148148672833,5
Village_130,-6.045762260788474,-80.66286002664246,5
Village_131,-6.04846013640906,-80.62390313411267,18
Village_132,-6.091703255934946,-80.66384651983314,11
Village_133,-5.973729182550598,-80.64132451819997,13
Village_134,-5.983357378130864,-80.79470793397589,8
Village_135,-6.041159404679355,-80.63454285061096,15
Village_136,-5.99539790551337,-80.68822626237969,19
Village_137,-6.010150201750363,-80.65224214872816,19
Village_138,-5.958822910915424,-80.57483974059431,9
Village_139,-5.976466083523844,-80.64864719482651,13
Village_140,-5.924316671206054,-80.66177085524413,19
Village_141,-5.994353427286218,-80.71018622764021,16
Village_142,-6.012221392152801,-80.67898835392555,18
Village_143,-6.0366651703451275,-80.67180886362362,6
Village_144,-6.094082696280727,-80.6780495492878,12
Village_145,-6.087404217074866,-80.75237318871883,8
Village_146,-6.000505859423144,-80.69136124781744,17
Village_147,-6.048211372165221,-80.61399443168759,19
Village_148,-6.131979828182169,-80.69957683993103,11
Village_149,-5.972117018839898,-80.68999692649817,11
Village_150,-6.094323180921316,-80.70310885874756,6
Village_151,-6.049117130056008,-80.68440977427679,16
Village_152,-5.982622094549314,-80.65519867325476,11
Village_153,-5.989032674287941,-80.60536305434988,18
Village_154,-6.042462909077053,-80.80495966810393,13
Village_155,-6.032160061831558,-80.65911617727856,10
Village_156,-6.109837361009146,-80.65204533370854,20
Village_157,-6.003795375909479,-80.68137037996091,9
Village_158,-5.972821298860983,-80.735316073912,13
Village_159,-5.90121193512164,-80.6616886657475,18
Village_160,-6.059861816568065,-80.60570850213746,11
Village_161,-5.905509853339116,-80.72241491426776,12
Village_162,-5.991863784317943,-80.734042507664,12
Village_163,-5.963369979799101,-80.7725065662498,16
Village_164,-6.081280513775129,-80.72056027307909,15
Village_165,-5.997912201211141,-80.5881914580392,5
Village_166,-5.928612618628287,-80.75663006822079,20
Village_167,-5.977901849173526,-80.60816706872852,6
Village_168,-6.076586538375491,-80.67252075399198,12
Village_169,-5.956027993963935,-80.70545878260523,20
Village_170,-6.045789292238386,-80.61019082659611,15
Village_171,-6.0012182421056295,-80.66806384825146,6
Village_172,-5.997877154099624,-80.58642351967453,9
Village_173,-6.01473781501409,-80.67965097031177,9
Village_174,-5.968792380845723,-80.64135717678809,7
Village_175,-6.030651185410822,-80.76195617362687,18
Village_176,-6.057426034969396,-80.7288122514139,8
Village_177,-5.9794192560955555,-80.7382321045919,20
Village_178,-6.015081798332204,-80.70330161692823,10
Village_179,-6.0092569265893045,-80.60443685726335,16
Village_180,-6.0431629305730175,-80.55503711043946,11
Village_181,-5.982731202520743,-80.61356842212338,6
Village_182,-6.004844322602675,-80.67952136353503,6
Village_183,-6.101543655188278,-80.60978306040091,15
Village_184,-6.002440251389016,-80.70468983324861,13
Village_185,-5.939882147395198,-80.67829526097901,16
Village_186,-6.003996283559819,-80.7761941744617,5
Village_187,-6.0157359129317465,-80.64217972851519,16
Village_188,-6.0911580435235875,-80.62170423963788,18
Village_189,-6.080223475025242,-80.6485163725585,7
Village_190,-6.123744125132655,-80.58039287370204,20
Village_191,-6.070062595242355,-80.65761633625384,12
Village_192,-5.965144238905109,-80.69376593709536,15
Village_193,-6.064286302316777,-80.65679767422411,14
Village_194,-5.984194667299012,-80.70843619927498,6
Village_195,-6.055774953664424,-80.70995127466169,9
Village_196,-5.930853676781353,-80.5629181602746,16
Village_197,-6.042682465267359,-80.74189389462944,18
Village_198,-6.075924482064329,-80.74001625126347,14
Village_199,-5.989270550465473,-80.62176824637122,19
Village_200,-6.076302650209905,-80.67991673664373,20
Village_201,-6.020616402484541,-80.69304847997667,5
Village_202,-6.005924651118634,-80.72076158968339,8
Village_203,-6.042363991816876,-80.74340270095618,10
Village_204,-5.976563625392633,-80.72101716770288,18
Village_205,-5.9327516143249355,-80.69445180197782,18
Village_206,-5.971657546832892,-80.6584481584291,15
Village_207,-6.063613427386203,-80.67802587740913,14
Village_208,-6.073488421691255,-80.76495457941938,20
Village_209,-6.052817537264215,-80.75311268547989,14
Village_210,-5.955520010935762,-80.67083319206519,10
Village_211,-6.053661248522641,-80.69953946225864,5
Village_212,-6.032489188047842,-80.78753497605751,14
Village_213,-6.01539863206583,-80.6080027930555,19
Village_214,-5.936859321689594,-80.65421798801833,19
Village_215,-6.037025227943676,-80.60289809085181,7
Village_216,-6.091153811944017,-80.73879327487536,8
Village_217,-5.968691122623418,-80.5865291679765,12
Village_218,-6.118956386148724,-80.68307374811873,13
Village_219,-6.033071141971349,-80.6939246683692,10
Village_220,-6.025311947947793,-80.79589752089053,18
Village_221,-6.044619696211943,-80.72519953848399,19
Village_222,-6.006301683541521,-80.63660640263788,15
Village_223,-6.003133780762012,-80.66832112984306,5
Village_224,-5.925241772168052,-80.68572538232657,18
Village_225,-6.010033384728539,-80.64443064383141,12
Village_226,-5.952901470099507,-80.68628815846165,9
Village_227,-6.043227850163478,-80.73210233618144,7
Village_228,-5.982970899652542,-80.72273920639952,16
Village_229,-6.002013874913926,-80.72721583125522,20
Village_230,-6.014352423102295,-80.72578493708336,19
Village_231,-5.875811128825547,-80.76255028049776,5
Village_232,-6.052398499491324,-80.78894001574047,9
Village_233,-5.964685359539278,-80.71084459347615,5
Village_234,-6.018583701827872,-80.73319092597445,10
Village_235,-6.103512159417094,-80.73363145345172,5
Village_236,-5.992424202899051,-80.64980986991479,6
Village_237,-5.996442706331434,-80.71219925933579,13
Village_238,-6.040420297744688,-80.74409202583527,5
Village_239,-5.990597796031063,-80.60299329524624,20
Village_240,-5.986034828156389,-80.65713541110847,9
Village_241,-6.039380311203624,-80.70362790939099,9
Village_242,-6.043687690015408,-80.71603721372853,18
Village_243,-6.125405327583693,-80.66396107876633,17
Village_244,-5.9295353752635185,-80.64075499069357,12
Village_245,-6.116906226758893,-80.73240431554588,7
Village_246,-5.979603781651516,-80.5715774737067,19
Village_247,-6.094012596837176,-80.6811973290678,5
Village_248,-5.980658410472867,-80.79897965012574,9
Village_249,-6.003219272094571,-80.64345674030565,7
Village_250,-6.108367591318455,-80.72023956934777,7
Village_251,-6.058740335687235,-80.70201864365838,19
Village_252,-6.015637207524418,-80.62928023920755,18
Village_253,-6.005906687247075,-80.66958897068498,10
Village_254,-5.973592325480494,-80.63150525194752,15
Village_255,-5.939511434377018,-80.66189827599766,15
Village_256,-6.035313736469489,-80.6689735506463,17
Village_257,-6.028493746764668,-80.73093818578911,17
Village_258,-6.065930972405224,-80.53319015359226,8
Village_259,-5.966807484064232,-80.633322127624,19
Village_260,-5.948478071836545,-80.58203413968751,14
Village_261,-6.053689459955178,-80.74423273516557,15
Village_262,-6.020598626029731,-80.66567883174646,10
Village_263,-6.059542167122554,-80.79823598307262,18
Village_264,-5.9769040506782165,-80.67136721188085,12
Village_265,-5.892712401019159,-80.67553894090123,19
Village_266,-5.982832303447296,-80.60376477075333,16
Village_267,-5.925891819073196,-80.65248626904692,12
Village_268,-6.045132390265265,-80.616907541592,13
Village_269,-5.9353406686680295,-80.70756078382156,12
Village_270,-6.031463685352791,-80.70551407233647,14
Village_271,-5.888065444913125,-80.65580236664461,9
Village_272,-5.945141778622559,-80.7165199642151,14
Village_273,-6.065605218763008,-80.76474283359329,13
Village_274,-6.092787498793581,-80.82123178223911,15
Village_275,-6.09013825088153,-80.6950367582446,16
Village_276,-6.024545574569417,-80.66635129240916,13
Village_277,-6.149844332147079,-80.6847147433259,12
Village_278,-5.963058692744403,-80.71691080141576,15
Village_279,-6.065859608527269,-80.65616653456759,8
Village_280,-5.901167418680058,-80.76346513052772,10
Village_281,-5.886332009837506,-80.67903907829928,17
Village_282,-6.083135180176999,-80.7775626839947,12
Village_283,-6.0207422009741505,-80.67424816882023,17
Village_284,-6.086685428623094,-80.60873051222404,20
Village_285,-6.050642289133858,-80.67667848861541,18
Village_286,-6.0032592956602215,-80.59109901960194,10
Village_287,-6.118918832745947,-80.74403200388439,10
Village_288,-6.032826604497203,-80.67008518689393,12
Village_289,-6.085375584735891,-80.72089083437955,18
Village_290,-5.944251815425167,-80.67574769844168,11
Village_291,-5.990734200171977,-80.72063335711367,17
Village_292,-5.953889832689603,-80.79071617820433,7
Village_293,-5.978916396797838,-80.73845258856086,17
Village_294,-6.100425163978425,-80.63148274985292,9
Village_295,-5.989976124028968,-80.73466293603225,19
Village_296,-5.971901745746992,-80.65083002805419,12
Village_297,-5.979452001589825,-80.6597868344257,15
Village_298,-6.028790478280099,-80.73487656257167,11
Village_299,-6.098488958603419,-80.59376565328687,6
Village_300,-6.003636929543271,-80.6446009782969,15
